,Unnamed: 0,id,dm-0,dm-1,dm-2,dm-3,dm-4,dm-5,dm-6,dm-7,dm-8,dm-9,dm-10,dt-0,dt-1,dt-2,dt-3,dt-4,dt-5,dt-6,dt-7,dt-8,dt-9,dt-10,dt-11,dt-12,dt-13,dt-14,dt-15,dt-16,dt-17,dt-18,dt-19,dt-20,dt-21,dt-22,tag
0,0,CSS1611101400424116462,78,60,33,25,20,2,3,1,1,7,0,0,0,0,1,3,2,1,1,0,0,0,3,2,8,10,24,22,13,29,107,4,0,0,3
4,4,CSS1611091600294129774,66,48,31,24,13,17,5,2,1,23,0,0,0,0,1,5,4,1,0,0,0,0,0,0,11,10,27,24,15,24,102,6,0,0,2
6,6,CSS1611091210484112960,63,52,40,41,18,1,4,9,1,0,0,0,0,0,1,3,2,1,0,0,0,1,2,2,8,10,23,20,15,33,104,8,0,0,5
7,7,CSS1611091120214135441,44,39,29,44,36,10,5,10,8,6,0,0,0,0,1,3,2,1,0,1,0,0,2,4,9,7,20,14,13,22,102,32,0,0,5
9,9,CSS1611091010464105145,55,41,37,32,38,0,0,0,0,24,0,0,0,0,1,5,4,1,0,0,0,0,0,3,9,9,28,21,15,13,112,10,0,0,2
10,10,CSS1611081550304129645,48,33,27,43,52,8,1,4,9,5,0,0,0,0,1,4,3,1,0,0,0,0,3,2,9,10,24,19,14,28,104,9,0,0,5
12,12,CSS1611071230074109142,48,46,36,46,33,17,2,0,0,0,0,0,0,0,1,4,3,1,0,1,0,1,2,6,10,11,23,10,8,6,109,37,0,0,5
13,13,CSS1611071180094132061,27,25,23,41,59,30,17,7,1,1,0,0,0,0,1,3,2,1,0,0,1,1,3,4,13,11,22,11,8,9,110,32,0,0,0
16,16,CSS1611071010084108990,50,49,34,38,42,13,2,0,0,0,0,0,0,0,1,4,3,1,0,0,0,3,2,7,13,11,23,9,3,0,107,46,0,0,0
20,20,CSS1611061210044109538,56,43,28,26,41,14,14,7,0,0,0,0,0,0,1,5,3,1,0,1,0,0,3,6,8,12,25,11,8,11,111,26,0,0,5
21,21,CSS1611061091234116212,51,41,31,41,39,5,6,13,2,0,0,0,0,0,1,4,3,1,0,0,0,0,3,5,8,10,21,10,10,20,112,23,0,0,5
22,22,CSS1611051120134110028,43,35,40,51,52,6,1,0,0,0,0,0,0,0,1,3,2,1,0,0,0,1,2,4,9,8,21,16,9,22,104,29,0,0,5
33,33,CSS1610231570204118948,31,26,22,37,56,23,5,1,2,27,1,0,0,0,1,3,2,1,0,0,0,0,3,3,9,10,19,16,10,21,101,31,2,0,2
37,37,CSS1610211260104103466,25,25,24,39,63,27,11,6,4,7,1,0,0,0,1,3,2,1,1,0,0,0,2,5,11,10,21,12,9,11,108,36,0,0,3
41,41,CSS1610131570194117494,29,25,20,32,62,29,20,12,1,0,0,0,0,0,1,4,3,1,0,0,0,0,4,3,11,14,26,20,14,15,104,14,0,0,2
42,42,CSS1610131180104104884,34,32,28,45,43,12,4,7,17,8,0,0,0,0,1,3,2,1,0,0,1,2,3,3,10,10,20,12,10,14,108,33,2,0,5
43,43,CSS1610131150114102277,22,21,20,36,61,28,13,14,10,5,0,0,0,0,1,3,2,1,0,0,0,1,4,3,8,8,17,12,9,21,99,41,2,0,5
44,44,CSS1610121600264129045,41,32,27,46,42,17,6,3,8,7,0,0,0,0,1,4,3,1,0,0,0,0,3,2,11,12,27,19,11,17,83,35,1,0,2
45,45,CSS1610121290034137586,36,28,22,31,34,4,2,6,17,49,0,0,0,0,1,3,2,1,1,1,0,0,3,5,10,8,19,11,11,13,94,50,0,0,5
46,46,CSS1610121230404110031,40,36,32,45,43,5,4,8,9,7,0,0,0,0,1,2,2,1,0,0,0,1,3,2,8,7,18,14,10,28,98,37,2,0,5
48,48,CSS1610111210514134421,47,39,33,46,34,5,4,2,1,18,0,0,0,0,1,2,2,1,0,0,1,1,2,2,7,7,17,13,11,25,100,41,2,0,2
49,49,CSS1610111070074115832,52,42,33,34,41,24,2,1,0,0,0,0,0,0,1,3,2,1,0,0,1,1,1,3,8,8,18,13,11,18,97,47,2,0,5
52,52,CSS1610101660414123208,19,18,15,25,46,52,35,11,7,1,0,0,0,0,1,5,3,1,0,0,0,0,4,4,4,10,15,14,10,34,57,70,0,0,5
53,53,CSS1610100070274103261,82,32,20,21,5,2,2,4,28,33,0,0,0,0,2,8,5,1,0,0,0,0,4,6,10,8,9,23,10,0,112,32,0,0,5
54,54,CSS1610100070244133288,87,46,16,17,11,1,0,0,1,50,0,0,0,0,2,6,4,1,0,0,0,0,8,4,13,11,10,25,9,0,113,25,0,0,5
55,55,CSS1610100040234111500,73,50,30,37,14,0,1,11,13,0,0,0,0,0,2,5,4,1,0,0,0,0,5,3,16,12,24,26,8,0,115,12,0,0,5
56,56,CSS1610090151174125109,54,38,39,39,28,9,2,7,14,1,0,0,0,0,1,5,3,1,0,0,0,2,2,2,12,9,22,8,5,13,95,51,0,0,2
57,57,CSS1610090121204115828,47,34,28,28,57,22,11,1,0,0,0,0,0,0,1,4,3,1,0,0,0,1,1,4,10,10,20,9,7,12,98,50,0,0,1
58,58,CSS1610071320374137623,39,36,32,46,47,7,1,6,4,12,1,0,0,0,1,3,2,1,1,0,0,0,2,2,6,8,19,15,12,30,102,29,2,0,1
59,59,CSS1610071260154236648,40,34,26,32,35,6,1,4,11,41,0,0,0,0,1,3,2,1,0,0,1,1,2,4,7,9,19,13,8,18,101,41,3,0,5
61,61,CSS1610060040184119667,48,41,26,31,44,19,13,1,0,5,2,0,0,0,1,5,3,1,0,0,0,0,8,7,12,14,20,6,3,0,107,45,0,0,5
62,62,CSS1610051290094112842,44,29,18,35,31,6,23,34,8,2,0,0,0,0,1,4,3,1,0,0,0,0,2,5,10,9,22,14,8,11,109,35,0,0,5
63,63,CSS1610051040264100999,31,33,27,45,54,14,2,1,2,22,0,0,0,0,1,5,3,1,0,0,0,0,0,6,9,11,20,15,10,4,109,37,0,0,2
64,64,CSS1610050010124122001,47,34,31,51,41,17,8,1,0,0,0,0,0,0,1,4,3,1,0,0,0,1,4,4,10,10,25,13,5,0,110,41,0,0,5
65,65,CSS1610040181164105823,48,42,32,35,34,12,20,6,1,0,0,0,0,0,1,5,4,1,0,0,0,2,1,6,11,8,28,9,3,3,91,58,0,0,5
66,66,CSS1610011180064110646,19,18,15,30,59,34,25,16,11,3,0,0,0,0,1,3,2,1,0,0,1,2,3,4,11,11,21,11,9,3,107,43,0,0,5
67,67,CSS1609271150204118454,44,33,25,37,38,9,10,6,14,13,0,0,0,0,1,3,2,1,0,1,1,1,2,3,8,7,18,12,10,27,105,31,2,0,2
69,69,CSS1609260231074102814,54,46,24,38,22,7,1,1,11,27,0,0,0,0,2,8,6,2,0,0,0,0,0,4,10,14,16,8,4,0,31,58,0,46,2
72,72,CSS1609251400984119582,32,31,28,46,63,12,2,1,6,8,0,0,0,0,1,3,2,1,1,0,0,1,2,3,8,10,18,10,4,8,53,17,0,86,2
73,73,CSS1609251321064256693,45,39,33,46,45,12,5,5,0,0,0,0,0,0,1,2,2,1,0,0,0,1,2,2,6,6,11,8,9,23,59,25,0,66,5
76,76,CSS1609251231144129676,57,50,42,46,26,3,1,3,1,0,0,0,0,0,1,3,2,1,0,0,1,1,2,2,4,6,12,9,8,17,57,25,0,70,3
77,77,CSS1609221121194118187,78,51,27,47,25,0,0,0,0,0,0,0,0,0,1,3,2,1,0,0,0,2,2,3,6,7,18,12,12,20,94,50,0,0,5
78,78,CSS1609221070014133607,49,35,25,23,16,3,5,16,25,33,0,0,0,0,1,3,2,1,1,0,1,1,2,4,10,8,20,12,9,8,101,48,0,0,5
79,79,CSS1609221041244110267,19,19,18,30,55,43,27,9,8,3,0,0,0,0,1,3,2,1,0,0,0,0,3,3,9,7,16,11,13,17,97,48,0,0,5
80,80,CSS1609221010114117243,176,35,3,1,1,5,4,4,1,0,0,0,0,0,1,4,3,1,0,2,0,1,3,5,12,12,21,7,4,2,96,55,5,0,3
81,81,CSS1609220010064109727,46,36,24,25,20,22,18,19,19,1,0,0,0,0,1,5,3,1,0,0,0,3,4,4,16,11,22,9,2,0,108,44,0,0,5
84,84,CSS1609101690374105884,18,15,17,21,41,33,44,22,6,14,0,0,0,0,2,5,4,1,0,0,0,0,2,2,2,5,14,8,3,18,39,36,0,92,2
85,85,CSS1609101550544114729,48,37,23,33,40,10,15,17,3,4,0,0,0,0,1,2,2,1,0,0,0,1,2,1,4,7,12,6,5,13,47,31,0,95,5
90,90,CSS1609061261144134968,39,34,30,42,49,17,13,3,2,1,0,0,0,0,1,2,1,1,0,0,0,1,2,2,4,5,9,6,5,9,48,25,1,106,3
91,91,CSS1609061180834144443,22,21,18,28,42,42,34,16,5,2,0,0,0,0,1,2,1,1,0,1,0,1,1,2,5,4,10,7,4,9,52,20,0,108,2
93,93,CSS1609041350784131213,29,26,24,39,61,27,12,5,4,2,0,0,0,0,1,2,1,1,0,0,0,1,1,1,4,4,8,4,4,18,43,26,1,103,5
94,94,CSS1609041041244101667,36,33,29,39,37,11,5,3,10,25,3,0,0,0,1,2,1,1,0,1,0,0,2,2,4,4,8,7,7,12,51,19,0,109,5
95,95,CSS1609041041214134611,39,37,34,46,42,14,9,5,3,1,0,0,0,0,1,2,1,1,1,1,0,1,2,1,3,4,8,6,6,18,50,17,0,109,2
97,97,CSS1609041011234131242,35,32,27,42,56,24,10,2,1,0,0,0,0,0,1,2,1,1,1,0,0,1,1,1,3,4,8,7,6,13,51,18,0,110,5
98,98,CSS1609040090114121233,26,25,21,32,50,46,24,3,2,1,0,0,0,0,1,3,2,1,0,0,1,1,2,2,4,6,13,7,3,2,56,24,2,96,0
101,101,CSS1609030071214116517,55,47,37,41,28,10,5,3,1,2,1,0,0,0,1,2,1,1,0,0,0,1,1,1,4,3,7,7,7,15,51,21,0,106,5
102,102,CSS1609030041244102873,36,31,26,38,64,30,4,1,1,0,0,0,0,0,1,2,1,1,0,0,0,0,1,1,3,3,8,7,7,18,50,18,0,108,0
103,103,CSS1609030010064123344,50,45,31,37,39,10,6,1,1,10,0,0,0,0,1,2,2,1,0,0,1,1,2,2,6,6,9,6,3,4,47,28,3,103,2
106,106,CSS1609020010114127735,95,59,21,8,8,1,20,16,0,0,0,0,0,0,1,2,2,1,0,0,0,1,2,3,5,7,12,7,3,1,48,26,2,107,5
107,107,CSS1608311070894114808,40,37,31,44,55,18,3,1,0,0,0,0,0,0,1,2,1,1,0,1,1,1,1,2,3,4,8,6,6,17,46,27,1,99,5
109,109,CSS1608310211114109727,36,32,29,45,34,11,20,4,3,17,0,0,0,0,2,4,3,1,0,0,0,0,2,2,2,5,10,9,5,5,36,34,0,109,2
112,112,CSS1608301230044123883,44,37,30,38,37,18,17,5,2,2,0,0,0,0,1,2,1,1,1,0,0,1,2,2,4,5,10,6,4,8,48,24,0,109,5
113,113,CSS1608301210114126752,50,45,37,46,34,8,3,2,5,2,0,0,0,0,1,2,1,1,0,0,1,1,1,2,4,5,11,8,4,5,52,21,1,112,5
114,114,CSS1608301210044119739,44,39,34,43,38,14,14,4,0,0,0,0,0,0,1,2,2,1,0,1,0,1,1,2,4,5,11,7,5,10,51,24,0,106,5
115,115,CSS1608291180064102809,52,44,35,41,33,11,6,6,1,1,0,0,0,0,1,2,1,1,0,0,1,1,2,2,5,5,11,7,5,4,53,21,0,111,5
119,119,CSS1607141460674111313,29,25,21,32,61,33,19,7,1,3,0,0,0,0,1,2,2,1,0,0,0,1,1,2,4,6,11,6,3,12,52,22,0,98,5
120,120,CSS1607141430714142489,28,26,24,39,51,23,20,13,2,3,1,0,0,0,1,2,1,1,1,0,0,1,1,2,3,4,9,5,4,19,44,25,0,105,5
121,121,CSS1607141040024107869,38,33,29,46,50,15,10,7,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,3,9,6,7,11,51,19,1,108,5
122,122,CSS1607121290724106294,38,31,27,38,41,27,12,5,6,4,0,0,0,0,1,2,1,1,0,0,1,1,1,2,4,5,10,8,5,5,46,28,0,104,5
123,123,CSS1607120261034138147,49,39,17,29,14,19,37,20,5,0,0,0,0,0,4,9,7,1,0,0,0,0,0,0,0,6,6,6,6,0,58,12,0,115,5
124,124,CSS1607101600454143507,23,21,20,29,39,33,28,15,10,11,0,0,0,0,1,3,2,1,0,0,0,0,3,2,6,8,16,7,6,14,44,39,0,82,2
126,126,CSS1607101380694141644,37,30,26,35,42,13,10,10,11,16,0,0,0,0,1,2,1,1,0,0,0,1,2,2,4,5,12,7,4,7,46,28,0,104,5
128,128,CSS1607101350754138969,27,23,20,34,67,47,8,2,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,4,9,5,5,14,43,27,1,106,0
129,129,CSS1607091210014124380,28,26,24,39,48,20,15,19,9,3,0,0,0,0,1,2,2,1,1,1,0,1,2,2,5,6,12,5,4,6,53,18,0,110,1
130,130,CSS1607081690324112179,32,26,20,32,36,19,13,8,5,38,1,0,0,0,1,4,3,1,0,0,0,2,0,3,5,10,23,10,5,11,26,42,0,86,2
131,131,CSS1607081520484130475,28,16,15,40,56,33,22,12,7,1,0,0,0,0,1,3,2,1,0,0,0,0,1,2,7,7,15,11,7,9,61,28,0,79,1
132,132,CSS1607081400574107460,37,34,30,45,49,21,10,3,1,0,0,0,0,0,1,2,1,1,0,0,0,0,1,3,4,4,12,9,5,5,54,24,0,99,5
134,134,CSS1607081070814120009,46,37,30,42,46,18,3,5,2,0,0,0,0,0,1,2,1,1,1,0,0,0,2,2,5,5,12,7,3,3,51,25,0,105,5
135,135,CSS1607081070044111695,45,41,32,42,41,16,10,3,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,4,9,6,6,11,50,21,1,107,5
136,136,CSS1607081040824147654,37,33,29,45,51,19,7,1,3,5,0,0,0,0,1,2,1,1,0,0,0,0,2,2,4,6,11,7,4,5,51,23,0,106,5
146,146,CSS1607060121174118737,31,30,26,43,61,25,11,2,1,0,0,0,0,0,1,2,2,1,0,0,0,1,1,1,4,4,7,6,6,14,48,22,0,107,0
148,148,CSS1607051090894117774,26,23,21,31,50,37,29,9,2,1,0,0,0,0,1,2,1,1,0,1,1,1,2,1,5,4,9,6,5,14,46,24,1,107,2
149,149,CSS1607041211134127847,89,64,33,21,9,5,4,6,1,1,0,0,0,0,1,2,1,1,0,1,1,1,1,2,3,3,7,6,6,16,49,21,1,107,3
150,150,CSS1607041211124111582,23,22,19,37,69,45,13,2,1,1,0,0,0,0,1,2,1,1,0,1,1,1,2,2,4,4,6,6,6,17,48,23,1,102,0
151,151,CSS1607041120794128732,38,31,25,37,59,21,11,6,2,1,0,0,0,0,1,2,1,1,1,0,1,1,2,2,5,5,11,7,4,4,53,21,1,104,5
152,152,CSS1607041091204106148,37,30,25,49,62,18,6,2,1,1,0,0,0,0,1,2,1,1,0,1,1,1,1,1,3,4,7,5,6,15,45,26,1,106,0
153,153,CSS1607041090774131535,42,36,27,39,57,20,6,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,2,2,4,5,11,8,4,4,52,23,1,105,5
154,154,CSS1607041090764122295,46,40,33,44,42,17,5,1,1,2,0,0,0,0,1,2,1,1,0,0,1,1,1,2,4,5,11,8,5,5,52,22,0,105,5
155,155,CSS1607041071204134191,29,28,27,46,67,20,5,3,3,3,0,0,0,0,1,2,1,1,0,1,1,1,1,1,3,4,7,5,6,18,47,24,0,105,3
156,156,CSS1607031320834188377,30,26,25,41,64,33,9,2,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,2,4,5,8,6,7,17,37,26,1,89,2
157,157,CSS1606171210684127504,42,38,31,40,35,17,16,5,5,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,5,11,8,5,6,52,23,1,104,2
158,158,CSS1606171181134127852,19,18,16,26,52,23,11,5,4,38,19,0,0,0,1,2,1,1,0,1,0,1,1,2,3,4,6,6,6,18,46,23,1,106,5
162,162,CSS1606161090634117514,27,26,25,44,65,26,11,3,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,4,4,10,8,6,12,51,18,1,109,1
165,165,CSS1606160041224106591,32,29,25,41,58,21,11,5,3,4,0,0,0,0,1,2,1,1,0,0,0,1,2,2,3,4,8,6,6,16,52,18,0,108,3
166,166,CSS1606160041184142245,69,59,40,37,13,6,4,1,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,2,3,3,8,5,5,18,44,24,0,107,3
167,167,CSS1606151290034128793,34,32,27,41,53,18,14,7,2,1,0,0,0,0,1,2,1,1,1,1,0,1,2,2,4,4,9,5,6,10,47,24,2,108,5
168,168,CSS1606151210784125497,40,35,29,41,45,22,11,6,2,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,5,5,10,8,4,6,51,23,0,108,5
169,169,CSS1606151180914102935,31,28,23,37,61,24,14,3,2,3,5,0,0,0,2,4,3,1,0,0,2,0,2,1,3,6,10,9,6,11,51,32,0,81,5
170,170,CSS1606151180814106547,33,29,27,42,58,27,11,2,0,0,0,0,0,0,1,2,1,1,0,1,0,1,1,2,4,5,10,8,4,8,52,21,0,108,5
173,173,CSS1606141460534112713,32,30,27,44,53,20,5,5,3,9,3,0,0,0,1,2,2,1,0,0,0,1,2,3,6,7,14,9,4,2,56,26,0,92,2
174,174,CSS1606141430534127913,32,31,29,47,57,11,8,9,4,1,0,0,0,0,1,2,2,1,0,0,0,0,1,2,3,5,11,10,6,6,51,29,0,99,2
175,175,CSS1606131550474124364,28,26,23,39,61,30,16,6,1,0,0,0,0,0,1,3,2,1,0,0,0,0,1,2,6,7,15,11,6,6,47,33,0,90,0
176,176,CSS1606131291074153778,31,29,26,43,56,22,9,2,1,5,8,0,0,0,1,2,1,1,0,0,0,1,2,1,4,4,7,6,6,16,48,22,1,105,2
179,179,CSS1606081040754126106,47,38,29,42,50,15,7,1,1,0,0,0,0,0,1,2,1,1,1,1,0,1,1,2,3,4,10,7,5,8,50,23,1,107,5
180,180,CSS1606081010804105155,23,21,20,36,71,41,12,3,1,1,0,0,0,0,1,2,1,1,0,1,0,0,1,1,5,5,11,7,5,7,53,19,0,110,3
181,181,CSS1606071570494121794,41,32,20,31,30,16,17,16,13,15,0,0,0,0,1,3,2,1,0,0,1,0,3,1,5,9,16,7,4,8,42,35,0,93,5
182,182,CSS1606071230774110988,23,21,20,38,73,38,12,3,1,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,5,5,10,7,4,7,49,26,0,106,0
183,183,CSS1606070040644119152,54,43,37,42,26,17,7,1,3,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,4,10,8,5,9,50,25,1,102,5
184,184,CSS1606061180574115067,40,37,32,46,45,13,8,3,2,3,0,0,0,0,1,1,1,1,1,0,0,1,1,1,3,4,9,6,5,13,51,20,1,110,5
185,185,CSS1606061120624122054,27,26,24,43,66,26,12,4,2,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,5,5,11,7,5,9,46,24,1,105,3
186,186,CSS1606060121114112143,35,34,29,45,53,18,9,4,2,1,0,0,0,0,1,2,1,1,1,0,0,1,1,2,4,4,6,5,5,21,42,23,0,108,3
187,187,CSS1606051260564134509,46,40,31,40,43,13,7,8,2,1,0,0,0,0,1,2,1,1,0,1,0,0,1,2,4,4,10,8,5,9,53,20,2,108,2
188,188,CSS1606050120794145963,25,23,20,32,49,34,24,13,8,2,0,0,0,0,1,2,2,1,1,1,1,1,1,2,5,4,11,7,6,5,51,22,0,107,5
189,189,CSS1606050120724127473,36,29,24,41,50,22,20,7,1,1,0,0,0,0,1,2,1,1,0,0,0,1,1,1,4,5,11,8,5,9,52,24,0,102,5
190,190,CSS1606050010704121629,43,36,31,39,34,17,16,9,3,2,0,0,0,0,1,2,1,1,0,1,0,1,1,2,3,3,10,7,6,12,49,22,1,107,5
192,192,CSS1606031380684117420,20,19,18,31,51,25,12,9,6,38,1,0,0,0,1,2,1,1,0,0,0,1,2,2,4,4,10,7,5,9,45,27,1,104,2
194,194,CSS1606021320614118438,33,30,27,42,52,20,11,5,4,5,1,0,0,0,1,1,1,1,1,1,1,0,1,1,2,3,5,4,2,2,34,30,70,70,5
195,195,CSS1605311460454131367,37,30,21,37,54,21,17,8,3,2,0,0,0,0,1,2,2,1,1,0,0,0,1,1,4,4,12,9,7,10,55,15,0,106,5
197,197,CSS1605310070594119120,45,41,33,39,36,16,10,4,6,1,0,0,0,0,1,2,2,1,1,0,0,0,1,2,2,5,11,6,5,5,51,23,1,109,2
198,198,CSS1605301690314108377,19,17,15,31,48,31,29,27,10,1,0,0,0,0,2,5,3,1,0,0,0,0,0,2,6,10,21,9,6,11,28,42,0,89,5
199,199,CSS1605301550324118990,38,34,23,40,56,18,10,6,1,3,0,0,0,0,1,2,2,1,0,0,0,0,1,1,3,4,10,9,7,16,54,21,2,96,5
201,201,CSS1605301490444110548,25,24,23,40,64,32,13,5,2,1,0,0,0,0,1,2,2,1,1,0,0,0,1,2,4,4,12,9,7,9,55,18,0,105,0
202,202,CSS1605301460394125395,43,30,24,40,61,15,9,5,3,2,0,0,0,0,1,2,1,1,0,1,0,1,1,1,3,4,10,9,6,13,51,17,1,110,5
204,204,CSS1605290070704139171,35,31,27,35,31,28,34,7,1,0,0,0,0,0,1,2,1,1,0,1,0,1,1,2,3,3,10,7,6,10,49,23,1,109,5
205,205,CSS1605290010604136738,47,41,35,43,38,9,5,3,1,10,0,0,0,0,1,2,1,1,0,0,1,1,2,2,4,5,10,6,4,6,49,25,3,109,2
206,206,CSS1605281090554119624,43,38,30,45,43,13,6,2,5,5,0,0,0,0,1,1,1,1,0,1,1,0,1,1,4,3,8,6,5,17,47,21,3,109,5
207,207,CSS1605281010644131002,70,51,30,31,31,12,1,2,1,1,0,0,0,0,1,2,1,1,1,0,0,1,1,1,4,3,8,7,6,14,49,21,1,107,5
208,208,CSS1605280150734147409,42,37,30,41,42,17,13,3,3,3,0,0,0,0,1,2,2,1,0,1,0,1,1,2,5,5,10,7,4,9,50,22,0,108,3
209,209,CSS1605280120874164002,19,18,15,27,47,24,25,31,19,6,0,0,0,0,1,2,2,1,0,0,1,0,1,2,6,4,11,8,4,4,52,28,0,99,2
210,210,CSS1605271430534116270,29,26,20,30,40,25,18,15,12,13,0,0,0,0,1,2,2,1,0,0,0,0,1,2,3,4,10,8,5,5,50,30,9,95,5
212,212,CSS1605271380674109645,42,34,27,37,30,11,9,6,4,32,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,4,9,6,4,7,42,30,11,100,5
213,213,CSS1605271350814117609,25,21,21,38,63,32,14,8,6,2,0,0,0,0,1,2,2,1,0,0,0,0,1,3,4,4,8,4,5,18,32,23,15,86,2
215,215,CSS1605261090714104635,47,41,35,46,38,14,6,2,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,3,4,9,7,4,6,46,27,11,103,5
216,216,CSS1605261070624105685,45,41,33,42,40,19,7,2,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,3,4,8,6,4,10,45,25,16,102,5
217,217,CSS1605251490574133437,132,53,19,10,6,7,1,0,0,0,0,0,0,0,1,2,2,1,0,0,0,1,1,3,5,5,12,7,4,5,55,34,15,80,3
218,218,CSS1605251180784118560,35,30,26,45,55,23,8,5,2,1,0,0,0,0,1,2,1,1,0,0,0,1,1,1,4,5,10,7,4,4,45,31,10,102,5
221,221,CSS1605141460674128707,35,31,24,37,44,20,19,12,5,3,0,0,0,0,1,2,2,1,0,0,0,1,1,2,4,4,9,4,3,14,42,30,21,89,5
222,222,CSS1605141380524125850,40,34,26,43,53,22,8,4,1,0,0,0,0,0,1,2,1,1,0,0,0,1,1,1,4,4,9,6,5,5,46,24,10,110,5
224,224,CSS1605141180724109433,34,31,28,44,69,20,2,1,0,0,0,0,0,0,1,2,2,1,0,1,0,0,1,2,4,4,9,7,4,5,48,25,6,104,0
225,225,CSS1605131350694112265,21,20,20,35,70,42,16,4,1,1,0,0,0,0,1,2,1,1,0,0,1,1,1,2,4,4,9,6,4,7,42,30,11,98,0
226,226,CSS1605131260844127527,38,35,30,46,47,11,5,4,5,8,0,0,0,0,1,1,1,1,0,1,0,1,1,1,3,3,6,5,4,16,44,25,6,106,5
227,227,CSS1605131260834111193,39,36,31,46,49,11,8,4,1,4,1,0,0,0,1,1,1,1,0,0,0,1,1,1,3,4,7,5,4,15,42,25,9,108,2
229,229,CSS1605101211114154128,43,38,31,44,57,8,3,4,1,0,0,0,0,0,1,2,1,1,0,1,1,0,1,1,3,3,7,5,6,16,43,29,8,99,5
230,230,CSS1605101040804123978,39,36,30,42,44,13,4,2,4,16,0,0,0,0,1,2,1,1,0,1,1,1,1,2,4,5,10,6,4,3,46,27,9,108,5
231,231,CSS1605101010584124257,47,42,35,46,41,11,6,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,4,4,8,5,4,7,44,28,18,102,5
232,232,CSS1605091630384130020,47,47,37,52,26,0,0,2,12,7,1,0,0,0,1,3,3,1,0,0,1,0,2,2,5,7,18,12,7,9,37,48,21,56,2
234,234,CSS1605081630324133512,44,27,23,41,18,24,20,21,12,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,5,5,13,7,6,12,42,35,24,73,5
235,235,CSS1605081090764135686,39,35,29,43,48,19,9,5,1,2,0,0,0,0,1,1,1,1,0,0,1,1,1,2,3,5,10,7,4,4,45,27,11,104,1
236,236,CSS1605081070454144230,23,23,21,39,72,36,12,3,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,3,3,8,6,4,10,46,24,14,105,5
237,237,CSS1605061460484115097,32,28,21,34,52,29,20,4,4,5,0,0,0,0,1,2,2,1,0,0,0,0,2,1,4,4,10,8,5,6,51,24,10,100,5
238,238,CSS1605061430634121570,34,23,19,36,44,30,29,8,2,5,0,0,0,0,1,2,1,1,0,0,0,1,2,2,4,5,10,7,4,5,48,32,14,90,5
240,240,CSS1605061430534126099,26,25,23,41,65,25,10,7,4,3,0,0,0,0,1,2,2,1,0,0,0,0,1,2,3,4,10,8,5,6,50,30,9,97,3
242,242,CSS1605051150574104178,44,40,33,47,50,9,4,2,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,3,3,8,6,4,12,45,26,12,106,5
243,243,CSS1605050010854156077,18,18,17,29,49,27,21,23,20,9,0,0,0,0,1,2,1,1,0,0,0,1,1,2,4,5,9,6,4,6,46,27,7,107,2
244,244,CSS1605031460374110588,47,42,35,46,43,12,3,2,1,1,0,0,0,0,1,2,1,1,0,1,0,0,1,1,3,4,9,8,6,10,52,27,12,94,3
245,245,CSS1605031230594104988,31,30,27,46,66,21,6,2,1,1,0,0,0,0,1,2,1,1,0,0,1,1,1,3,5,5,12,9,7,9,63,45,26,41,3
246,246,CSS1605031230594100807,44,36,29,45,51,9,7,6,2,1,0,0,0,0,1,2,1,1,0,0,1,1,1,3,5,5,12,9,7,10,65,46,25,39,5
247,247,CSS1605031180584104729,40,36,31,44,46,14,12,4,2,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,3,3,8,6,4,10,45,25,10,108,5
249,249,CSS1605030210794103494,28,25,21,36,42,33,25,8,8,3,0,0,0,0,2,3,2,1,1,0,0,2,0,2,7,7,15,5,2,1,62,18,0,100,2
250,250,CSS1605030070894187198,29,28,26,44,66,24,10,2,1,0,0,0,0,0,1,2,1,1,1,0,0,1,1,2,5,4,9,5,3,6,46,25,10,105,2
251,251,CSS1604300040844101938,26,24,23,37,53,31,24,9,2,1,0,0,0,0,1,2,2,1,0,0,0,1,1,2,4,5,9,6,5,6,50,27,11,97,5
253,253,CSS1604290120764109443,36,32,28,40,40,26,24,4,1,0,0,0,0,0,1,2,2,1,1,0,0,1,2,2,5,4,12,8,5,8,53,24,0,102,5
